scenario,year,fuel,avg_margin_eur_per_MWh,median_margin_eur_per_MWh,share_negative_margin_pct,share_stranded_pct,plants
Current Policies,2035,gas,11.47264452434544,11.47264452434544,0.0,0.0,439
Current Policies,2035,oil,-152.8462650031717,-152.8462650031717,100.0,100.0,106
Current Policies,2036,coal,12.718263360477792,12.718263360477792,0.0,0.0,279
Current Policies,2036,gas,8.68236287751023,8.68236287751023,0.0,0.0,439
Current Policies,2036,oil,-159.53713581890287,-159.53713581890287,100.0,100.0,106
Current Policies,2037,coal,10.403680729467894,10.403680729467894,0.0,0.0,279
Current Policies,2037,gas,5.892081230675039,5.892081230675039,0.0,0.0,439
Current Policies,2037,oil,-166.22800663463414,-166.22800663463414,100.0,100.0,106
Current Policies,2038,coal,8.089098098457974,8.089098098457974,0.0,0.0,279
Current Policies,2038,gas,3.101799583839828,3.101799583839828,0.0,0.0,439
Current Policies,2038,oil,-172.91887745036533,-172.91887745036533,100.0,100.0,106
Current Policies,2039,coal,5.774515467448062,5.774515467448062,0.0,0.0,279
Current Policies,2039,gas,0.3115179370046306,0.3115179370046306,0.0,0.0,439
Current Policies,2039,oil,-179.60974826609655,-179.60974826609655,100.0,100.0,106
Current Policies,2040,coal,3.4599328364381563,3.4599328364381563,0.0,0.0,279
Current Policies,2040,gas,-2.4787637098305737,-2.4787637098305737,100.0,0.0,439
Current Policies,2040,oil,-186.30061908182776,-186.3006190818278,100.0,100.0,106
Current Policies,2041,coal,1.2426851710799838,1.2426851710799838,0.0,0.0,279
Current Policies,2041,gas,-5.270958181817754,-5.270958181817754,100.0,0.0,439
Current Policies,2041,oil,-192.76365030522615,-192.76365030522615,100.0,100.0,106
Current Policies,2042,coal,-0.9745624942781959,-0.9745624942781959,100.0,0.0,279
Current Policies,2042,gas,-8.063152653804963,-8.063152653804963,100.0,100.0,439
Current Policies,2042,oil,-199.22668152862454,-199.22668152862454,100.0,100.0,106
Current Policies,2043,coal,-3.1918101596363826,-3.1918101596363826,100.0,0.0,279
Current Policies,2043,gas,-10.855347125792177,-10.855347125792179,100.0,100.0,439
Current Policies,2043,oil,-205.6897127520229,-205.6897127520229,100.0,100.0,106
Current Policies,2044,coal,-5.409057824994569,-5.409057824994569,100.0,100.0,279
Current Policies,2044,gas,-13.647541597779373,-13.647541597779373,100.0,100.0,439
Current Policies,2044,oil,-212.15274397542134,-212.15274397542134,100.0,100.0,106
Current Policies,2045,coal,-7.626305490352735,-7.626305490352735,100.0,100.0,279
Current Policies,2045,gas,-16.439736069766553,-16.439736069766553,100.0,100.0,439
Current Policies,2045,oil,-218.6157751988198,-218.6157751988198,100.0,100.0,106
Current Policies,2046,coal,-8.060504952947149,-8.060504952947149,100.0,100.0,279
Current Policies,2046,gas,-17.126863834323366,-17.126863834323366,100.0,100.0,439
Current Policies,2046,oil,-222.94288029636851,-222.94288029636854,100.0,100.0,106
Current Policies,2047,coal,-8.494704415541584,-8.494704415541584,100.0,100.0,279
Current Policies,2047,gas,-17.813991598880165,-17.813991598880165,100.0,100.0,439
Current Policies,2047,oil,-227.26998539391732,-227.26998539391732,100.0,100.0,106
Current Policies,2048,coal,-8.928903878136012,-8.928903878136012,100.0,100.0,279
Current Policies,2048,gas,-18.501119363436985,-18.501119363436985,100.0,100.0,439
Current Policies,2048,oil,-231.59709049146625,-231.59709049146625,100.0,100.0,106
Current Policies,2049,coal,-9.36310334073044,-9.36310334073044,100.0,100.0,279
Current Policies,2049,gas,-19.18824712799379,-19.18824712799379,100.0,100.0,439
Current Policies,2049,oil,-235.92419558901506,-235.92419558901506,100.0,100.0,106
Current Policies,2050,coal,-9.797302803324854,-9.797302803324854,100.0,100.0,279
Current Policies,2050,gas,-19.87537489255058,-19.87537489255058,100.0,100.0,439
Current Policies,2050,oil,-240.25130068656378,-240.2513006865638,100.0,100.0,106
Delayed transition,2020,coal,49.60181583729613,49.60181583729613,0.0,0.0,279
Delayed transition,2020,gas,56.24725666092142,56.24725666092142,0.0,0.0,439
Delayed transition,2020,oil,-78.00425315011574,-78.00425315011574,100.0,0.0,106
Delayed transition,2021,coal,47.326609507510696,47.326609507510696,0.0,0.0,279
Delayed transition,2021,gas,53.22284339221103,53.22284339221103,0.0,0.0,439
Delayed transition,2021,oil,-84.92406110567416,-84.92406110567416,100.0,0.0,106
Delayed transition,2022,coal,45.05140317772526,45.05140317772526,0.0,0.0,279
Delayed transition,2022,gas,50.19843012350063,50.19843012350063,0.0,0.0,439
Delayed transition,2022,oil,-91.84386906123257,-91.84386906123257,100.0,100.0,106
Delayed transition,2023,coal,42.77619684793984,42.77619684793984,0.0,0.0,279
Delayed transition,2023,gas,47.174016854790224,47.174016854790224,0.0,0.0,439
Delayed transition,2023,oil,-98.76367701679092,-98.76367701679092,100.0,100.0,106
Delayed transition,2024,coal,40.50099051815441,40.50099051815441,0.0,0.0,279
Delayed transition,2024,gas,44.14960358607981,44.14960358607981,0.0,0.0,439
Delayed transition,2024,oil,-105.68348497234936,-105.68348497234936,100.0,100.0,106
Delayed transition,2025,coal,38.225784188368976,38.225784188368976,0.0,0.0,279
Delayed transition,2025,gas,41.125190317369416,41.125190317369416,0.0,0.0,439
Delayed transition,2025,oil,-112.60329292790772,-112.60329292790772,100.0,100.0,106
Delayed transition,2026,coal,35.789016911874825,35.789016911874825,0.0,0.0,279
Delayed transition,2026,gas,38.54773419802224,38.54773419802224,0.0,0.0,439
Delayed transition,2026,oil,-118.03092137293808,-118.03092137293808,100.0,100.0,106
Delayed transition,2027,coal,33.352249635380645,33.352249635380645,0.0,0.0,279
Delayed transition,2027,gas,35.970278078675065,35.970278078675065,0.0,0.0,439
Delayed transition,2027,oil,-123.4585498179685,-123.4585498179685,100.0,100.0,106
Delayed transition,2028,coal,30.91548235888648,30.91548235888648,0.0,0.0,279
Delayed transition,2028,gas,33.39282195932786,33.39282195932786,0.0,0.0,439
Delayed transition,2028,oil,-128.88617826299892,-128.88617826299892,100.0,100.0,106
Delayed transition,2029,coal,28.478715082392284,28.478715082392284,0.0,0.0,279
Delayed transition,2029,gas,30.815365839980664,30.815365839980664,0.0,0.0,439
Delayed transition,2029,oil,-134.31380670802926,-134.31380670802926,100.0,100.0,106
Delayed transition,2030,coal,26.041947805898133,26.041947805898133,0.0,0.0,279
Delayed transition,2030,gas,28.237909720633496,28.237909720633496,0.0,0.0,439
Delayed transition,2030,oil,-139.74143515305965,-139.74143515305965,100.0,100.0,106
Delayed transition,2031,coal,-22.14864734465192,-22.14864734465192,100.0,0.0,279
